field,dtype
监控时间,datetime64[ns]
生产设施工况,object
废气排放量m3,float64
设备维护标记_人工,object
烟尘_实测值,float64
排放量kg,float64
设备维护标记_自动,object
人工,object
烟气流速,float64
烟气温度,float64
烟气湿度,float64
烟气压力,float64
source_folder,object
source_file,object
point_name_hint,object
outlet_id,object
process_hint,object
file_start_date,object
file_end_date,object
title_outlet,object
title_start_time,object
title_end_time,object
source_path,object
折算值,float64
二氧化硫_实测值,float64
氮氧化物_实测值,float64
氧含量,float64
治理工艺,object
label_anomaly,int64
label_is_maintenance,int64
hour,int32
dayofweek,int32
is_weekend,int64
day_of_month,int32
二氧化硫_实测值_lag1,float64
二氧化硫_实测值_diff1,float64
二氧化硫_实测值_rate1,float64
二氧化硫_实测值_roll_mean_5,float64
二氧化硫_实测值_roll_std_5,float64
二氧化硫_实测值_roll_min_5,float64
二氧化硫_实测值_roll_max_5,float64
二氧化硫_实测值_amp_5,float64
二氧化硫_实测值_roll_mean_10,float64
二氧化硫_实测值_roll_std_10,float64
二氧化硫_实测值_roll_min_10,float64
二氧化硫_实测值_roll_max_10,float64
二氧化硫_实测值_amp_10,float64
二氧化硫_实测值_roll_mean_30,float64
二氧化硫_实测值_roll_std_30,float64
二氧化硫_实测值_roll_min_30,float64
二氧化硫_实测值_roll_max_30,float64
二氧化硫_实测值_amp_30,float64
二氧化硫_实测值_roll_mean_60,float64
二氧化硫_实测值_roll_std_60,float64
二氧化硫_实测值_roll_min_60,float64
二氧化硫_实测值_roll_max_60,float64
二氧化硫_实测值_amp_60,float64
废气排放量m3_lag1,float64
废气排放量m3_diff1,float64
废气排放量m3_rate1,float64
废气排放量m3_roll_mean_5,float64
废气排放量m3_roll_std_5,float64
废气排放量m3_roll_min_5,float64
废气排放量m3_roll_max_5,float64
废气排放量m3_amp_5,float64
废气排放量m3_roll_mean_10,float64
废气排放量m3_roll_std_10,float64
废气排放量m3_roll_min_10,float64
废气排放量m3_roll_max_10,float64
废气排放量m3_amp_10,float64
废气排放量m3_roll_mean_30,float64
废气排放量m3_roll_std_30,float64
废气排放量m3_roll_min_30,float64
废气排放量m3_roll_max_30,float64
废气排放量m3_amp_30,float64
废气排放量m3_roll_mean_60,float64
废气排放量m3_roll_std_60,float64
废气排放量m3_roll_min_60,float64
废气排放量m3_roll_max_60,float64
废气排放量m3_amp_60,float64
氧含量_lag1,float64
氧含量_diff1,float64
氧含量_rate1,float64
氧含量_roll_mean_5,float64
氧含量_roll_std_5,float64
氧含量_roll_min_5,float64
氧含量_roll_max_5,float64
氧含量_amp_5,float64
氧含量_roll_mean_10,float64
氧含量_roll_std_10,float64
氧含量_roll_min_10,float64
氧含量_roll_max_10,float64
氧含量_amp_10,float64
氧含量_roll_mean_30,float64
氧含量_roll_std_30,float64
氧含量_roll_min_30,float64
氧含量_roll_max_30,float64
氧含量_amp_30,float64
氧含量_roll_mean_60,float64
氧含量_roll_std_60,float64
氧含量_roll_min_60,float64
氧含量_roll_max_60,float64
氧含量_amp_60,float64
氮氧化物_实测值_lag1,float64
氮氧化物_实测值_diff1,float64
氮氧化物_实测值_rate1,float64
氮氧化物_实测值_roll_mean_5,float64
氮氧化物_实测值_roll_std_5,float64
氮氧化物_实测值_roll_min_5,float64
氮氧化物_实测值_roll_max_5,float64
氮氧化物_实测值_amp_5,float64
氮氧化物_实测值_roll_mean_10,float64
氮氧化物_实测值_roll_std_10,float64
氮氧化物_实测值_roll_min_10,float64
氮氧化物_实测值_roll_max_10,float64
氮氧化物_实测值_amp_10,float64
氮氧化物_实测值_roll_mean_30,float64
氮氧化物_实测值_roll_std_30,float64
氮氧化物_实测值_roll_min_30,float64
氮氧化物_实测值_roll_max_30,float64
氮氧化物_实测值_amp_30,float64
氮氧化物_实测值_roll_mean_60,float64
氮氧化物_实测值_roll_std_60,float64
氮氧化物_实测值_roll_min_60,float64
氮氧化物_实测值_roll_max_60,float64
氮氧化物_实测值_amp_60,float64
烟尘_实测值_lag1,float64
烟尘_实测值_diff1,float64
烟尘_实测值_rate1,float64
烟尘_实测值_roll_mean_5,float64
烟尘_实测值_roll_std_5,float64
烟尘_实测值_roll_min_5,float64
烟尘_实测值_roll_max_5,float64
烟尘_实测值_amp_5,float64
烟尘_实测值_roll_mean_10,float64
烟尘_实测值_roll_std_10,float64
烟尘_实测值_roll_min_10,float64
烟尘_实测值_roll_max_10,float64
烟尘_实测值_amp_10,float64
烟尘_实测值_roll_mean_30,float64
烟尘_实测值_roll_std_30,float64
烟尘_实测值_roll_min_30,float64
烟尘_实测值_roll_max_30,float64
烟尘_实测值_amp_30,float64
烟尘_实测值_roll_mean_60,float64
烟尘_实测值_roll_std_60,float64
烟尘_实测值_roll_min_60,float64
烟尘_实测值_roll_max_60,float64
烟尘_实测值_amp_60,float64
烟气压力_lag1,float64
烟气压力_diff1,float64
烟气压力_rate1,float64
烟气压力_roll_mean_5,float64
烟气压力_roll_std_5,float64
烟气压力_roll_min_5,float64
烟气压力_roll_max_5,float64
烟气压力_amp_5,float64
烟气压力_roll_mean_10,float64
烟气压力_roll_std_10,float64
烟气压力_roll_min_10,float64
烟气压力_roll_max_10,float64
烟气压力_amp_10,float64
烟气压力_roll_mean_30,float64
烟气压力_roll_std_30,float64
烟气压力_roll_min_30,float64
烟气压力_roll_max_30,float64
烟气压力_amp_30,float64
烟气压力_roll_mean_60,float64
烟气压力_roll_std_60,float64
烟气压力_roll_min_60,float64
烟气压力_roll_max_60,float64
烟气压力_amp_60,float64
烟气流速_lag1,float64
烟气流速_diff1,float64
烟气流速_rate1,float64
烟气流速_roll_mean_5,float64
烟气流速_roll_std_5,float64
烟气流速_roll_min_5,float64
烟气流速_roll_max_5,float64
烟气流速_amp_5,float64
烟气流速_roll_mean_10,float64
烟气流速_roll_std_10,float64
烟气流速_roll_min_10,float64
烟气流速_roll_max_10,float64
烟气流速_amp_10,float64
烟气流速_roll_mean_30,float64
烟气流速_roll_std_30,float64
烟气流速_roll_min_30,float64
烟气流速_roll_max_30,float64
烟气流速_amp_30,float64
烟气流速_roll_mean_60,float64
烟气流速_roll_std_60,float64
烟气流速_roll_min_60,float64
烟气流速_roll_max_60,float64
烟气流速_amp_60,float64
烟气温度_lag1,float64
烟气温度_diff1,float64
烟气温度_rate1,float64
烟气温度_roll_mean_5,float64
烟气温度_roll_std_5,float64
烟气温度_roll_min_5,float64
烟气温度_roll_max_5,float64
烟气温度_amp_5,float64
烟气温度_roll_mean_10,float64
烟气温度_roll_std_10,float64
烟气温度_roll_min_10,float64
烟气温度_roll_max_10,float64
烟气温度_amp_10,float64
烟气温度_roll_mean_30,float64
烟气温度_roll_std_30,float64
烟气温度_roll_min_30,float64
烟气温度_roll_max_30,float64
烟气温度_amp_30,float64
烟气温度_roll_mean_60,float64
烟气温度_roll_std_60,float64
烟气温度_roll_min_60,float64
烟气温度_roll_max_60,float64
烟气温度_amp_60,float64
烟气湿度_lag1,float64
烟气湿度_diff1,float64
烟气湿度_rate1,float64
烟气湿度_roll_mean_5,float64
烟气湿度_roll_std_5,float64
烟气湿度_roll_min_5,float64
烟气湿度_roll_max_5,float64
烟气湿度_amp_5,float64
烟气湿度_roll_mean_10,float64
烟气湿度_roll_std_10,float64
烟气湿度_roll_min_10,float64
烟气湿度_roll_max_10,float64
烟气湿度_amp_10,float64
烟气湿度_roll_mean_30,float64
烟气湿度_roll_std_30,float64
烟气湿度_roll_min_30,float64
烟气湿度_roll_max_30,float64
烟气湿度_amp_30,float64
烟气湿度_roll_mean_60,float64
烟气湿度_roll_std_60,float64
烟气湿度_roll_min_60,float64
烟气湿度_roll_max_60,float64
烟气湿度_amp_60,float64
折算值_lag1,float64
折算值_diff1,float64
折算值_rate1,float64
折算值_roll_mean_5,float64
折算值_roll_std_5,float64
折算值_roll_min_5,float64
折算值_roll_max_5,float64
折算值_amp_5,float64
折算值_roll_mean_10,float64
折算值_roll_std_10,float64
折算值_roll_min_10,float64
折算值_roll_max_10,float64
折算值_amp_10,float64
折算值_roll_mean_30,float64
折算值_roll_std_30,float64
折算值_roll_min_30,float64
折算值_roll_max_30,float64
折算值_amp_30,float64
折算值_roll_mean_60,float64
折算值_roll_std_60,float64
折算值_roll_min_60,float64
折算值_roll_max_60,float64
折算值_amp_60,float64
排放量kg_lag1,float64
排放量kg_diff1,float64
排放量kg_rate1,float64
排放量kg_roll_mean_5,float64
排放量kg_roll_std_5,float64
排放量kg_roll_min_5,float64
排放量kg_roll_max_5,float64
排放量kg_amp_5,float64
排放量kg_roll_mean_10,float64
排放量kg_roll_std_10,float64
排放量kg_roll_min_10,float64
排放量kg_roll_max_10,float64
排放量kg_amp_10,float64
排放量kg_roll_mean_30,float64
排放量kg_roll_std_30,float64
排放量kg_roll_min_30,float64
排放量kg_roll_max_30,float64
排放量kg_amp_30,float64
排放量kg_roll_mean_60,float64
排放量kg_roll_std_60,float64
排放量kg_roll_min_60,float64
排放量kg_roll_max_60,float64
排放量kg_amp_60,float64
二氧化硫_实测值_exceed_2sigma_cnt_10,float64
二氧化硫_实测值_exceed_2sigma_cnt_30,float64
二氧化硫_实测值_exceed_2sigma_cnt_60,float64
废气排放量m3_exceed_2sigma_cnt_10,float64
废气排放量m3_exceed_2sigma_cnt_30,float64
废气排放量m3_exceed_2sigma_cnt_60,float64
氧含量_exceed_2sigma_cnt_10,float64
氧含量_exceed_2sigma_cnt_30,float64
氧含量_exceed_2sigma_cnt_60,float64
氮氧化物_实测值_exceed_2sigma_cnt_10,float64
氮氧化物_实测值_exceed_2sigma_cnt_30,float64
氮氧化物_实测值_exceed_2sigma_cnt_60,float64
烟尘_实测值_exceed_2sigma_cnt_10,float64
烟尘_实测值_exceed_2sigma_cnt_30,float64
烟尘_实测值_exceed_2sigma_cnt_60,float64
烟气压力_exceed_2sigma_cnt_10,float64
烟气压力_exceed_2sigma_cnt_30,float64
烟气压力_exceed_2sigma_cnt_60,float64
烟气流速_exceed_2sigma_cnt_10,float64
烟气流速_exceed_2sigma_cnt_30,float64
烟气流速_exceed_2sigma_cnt_60,float64
烟气温度_exceed_2sigma_cnt_10,float64
烟气温度_exceed_2sigma_cnt_30,float64
烟气温度_exceed_2sigma_cnt_60,float64
烟气湿度_exceed_2sigma_cnt_10,float64
烟气湿度_exceed_2sigma_cnt_30,float64
烟气湿度_exceed_2sigma_cnt_60,float64
折算值_exceed_2sigma_cnt_10,float64
折算值_exceed_2sigma_cnt_30,float64
折算值_exceed_2sigma_cnt_60,float64
排放量kg_exceed_2sigma_cnt_10,float64
排放量kg_exceed_2sigma_cnt_30,float64
排放量kg_exceed_2sigma_cnt_60,float64
