point_name_hint,anomaly_count,total,anomaly_ratio
二期1#二次,1223,126720,0.009651199494949496
二期2#二次,1496,146880,0.010185185185185186
二期23号矿槽 2,2181,149760,0.014563301282051282
二期23号矿槽 3,2181,149760,0.014563301282051282
二期2号高炉出铁,1462,151200,0.00966931216931217
机头（10.15-11 2.15）,3347,92160,0.03631727430555556
机头（10.15-11 3.15）,3347,92160,0.03631727430555556
机头（12.15-1 2.15),4127,92160,0.04478081597222222
机头（12.15-1 3.15),4127,92160,0.04478081597222222
机头（7.15-8 2.15）,1993,46080,0.04325086805555556
机头（7.15-8 3.15）,1993,46080,0.04325086805555556
